run_accession	fastq_md5
SRR1607340	906430f334e5b881759251ebbfb98b0d;949b9937d1c36a2f4bdc164e1f397bc3
SRR1607341	fc45fcb0b323cfadd9fd5f92d9ea7948;87c56de9d114fa1f437d9476bf4f9f69
SRR1607342	4e4e71bdafed0d43195e1fc244851f89;468b89717b0eb13cf436e73dae3ebf8d
SRR1607343	e2feb521ebef71f5c4455ddeafc1fc08;3792cdf08c2524593c3872772ea281e8
SRR1607344	6412798b99d4167ac3f596e7d2bc04ac;4d48bdaf571f040e0cf0dc9e46be6857
SRR1607345	ad5622aca8661ac2dcaea6894ea93547;195b9dcf19a607463bb1f2f70f2ceec3
SRR1607346	975681f3ac812dec3967eb4a1e9e364d;388bf57380a29204dedf40ee725138a4
SRR1607347	3a3e26e402ce50fef3dae0b82837baa1;f3629291e7208201a4803826bfcb1236
SRR1607348	e0081bff4ca0712f834c151ca2d79b57;ea7ca39cb4686882c946fe85d36349ba
SRR1607349	93ce1cb37485d11e18ced36d595112a6;5c28f330aec750baf75914dbebec1f61
SRR1607350	df578dff37fcb4e0aa779a5191f47040;eae1bcdfd94ced0fa183257078bf0f41
SRR1607351	b641353fdfd0691d1e8f93d064a515e3;eeadb5c29b752366a42f260a5ec28573
SRR1607352	1f8cf69dd7651a374159a2c5b578c600;87169ae4133609b75d7bb0d329887403
SRR1607353	2d3c71c7d888e16ebfc5cf256c331165;9d424a57ecdd5c1c78b93566edf3eb98
SRR1607354	9b64d25282dad24d7bfc7e854efe9c7a;046a46d3bcce586eb73260f53664d2d6
SRR1607355	8d1852c676690aece3325130450083c4;86e61486b68725fd1e725d33304365b0
SRR1607356	4ec7b0ce4d18df358cd493203892c338;13bf5b0b9a00c6ce4065cd66c4523a29
SRR1607357	0a951b9b0372513c85e10710572f0407;4ff017f3b8ec55ca22ca4125d2cb3002
SRR1607358	69ecc660b94853951ba2d52d253b942e;b9fe6b45da16d5dd4123468fda8070bc
SRR1607359	7d2397314c29d6762d1994db12f460b0;4aa2d047898eaa58adebe5fb2749c39f
SRR1607360	44aa80950431042ff1ff6bc7faada901;2c26c2d90bc2d8cf842a31013ccf40e9
SRR1607361	d451a7927600e16faf69731afcecba01;251dce8ad0641d5ae8141dcb71017c33
SRR1607362	e0f46df1501b72cb5975180b53921095;5722cdab942f6e6c20957dc06efb30a3
SRR1607363	719b873acf1a141ae3aceaf021e3bcb3;4c222fc216bb98e8fa3c8c355e2720b8
SRR1607364	b378703266f4b1c95bc0af56b82144c2;c036575c36dab4bb8bb0d20bcf827d47
SRR1607365	a024f9eef7f94e4adb1740453abd3f2d;64d6f744e4853eb9b254162727adbe91
SRR1607366	decd4cc9f7464a422c6535e30c41e58c;3e8d333c3a7b13a6063a9bf5ad16b780
SRR1607367	7d4fc38c723be7997d6d5d102129687f;8432b339f04a4d72e0ffd92320aadfeb
SRR1607368	016e4f0ed0fc420a841a2dd8b9c35435;046c6ee05fab6c5535f09d40f986fd50
SRR1607369	01f77e0a62e8b65bcc2f8218e971fc41;95537610b678cea97f0557ffaca4ab5f
SRR1607370	afe1480f62ecb54f30d821c1d7771eb1;52fd9eee88d4235675d28c58d49ef17c
SRR1607371	f0de6afcf30536c2749e3108c782ce8f;ed59329909e016658111ec287bed56fc
SRR1607372	a0b077584049f8ce36f5eae170492f3c;53fddd1be3ee354cf5f35c2a80a6cdc9
SRR1607373	ca2864971a4fe9a4bba73fa1cc65d389;0da40bddae1d5cc2347684c4995e4f14
SRR1607374	0169b44bd631e198a8bf1c5e6e4125d0;2f5b984b0445f31ca707ad9abff08b04
SRR1607375	0f5e8bab0e65a967e0ce5d1707873f36;4ed1364c75c15623cb1d157eaf663321
SRR1607376	47b3641b84f61fbe411e8e080e55fb47;4f404123faf994286e8f6e0374007b15
SRR1607377	2d8b0b1ce760e354147261358cde11be;515185b19b8d467bd7cc71e9d14ed3a9
SRR1607378	865f3d21f4f7d4ec6cf98fb82d4b30db;cee63f52a0316cc9b782e8babdac7050
SRR1607379	42b0eb5aacdbced5f6b4c82bb58961bd;6009602405cc9a7610e04167de8f1650
SRR1607380	e71fad2b0e6edb16159ffa69af7f69dd;b7d9a1c82fad2b0754de0de6982a13cf
SRR1607381	c0f5ac269125416a10c7a635c5d040ed;2b715e6baf700e9f6700cb04dcf26981
SRR1607382	6f8cc8ea84c3d7a183208ecfb21c031c;f6776a6158bfb88b80d9fceca5ab8713
SRR1607383	40a20ca380f6465d9d2ca89e4cc68ef3;fc8256c6be1142e5fe76d6471609b52f
SRR1607384	2bb2f4b9b260c37e89995aff7de3b16b;6a5f03caa25c96026aed5467ad1727f3
SRR1607385	e9d83e84527be0eae656b4e3a2aca705;088fb0c7f227a0d71cd82cab49f05655
SRR1607386	f9cab0ee2cb65d39a24b38cead5c1891;0f544d55639dbd59749ae7906d48946a
SRR1607387	ae25245cd04c142cffbc2eb4a88450c8;882240e0ae2e6c1ef5818d49c1a07ca1
SRR1607388	7e54d2686cec7b079c7fa88a0bf2918c;63d42adab63f0cc1b45280cb5b5fc325
SRR1607389	e81403d39bf82b4cca23f132777d8134;ca4fae0c428fd75f1207abed86252219
SRR1607390	b6d75c8ac1ce9f71570726e228dde151;3ff0812cecb8ce1da99e70becc1c5691
SRR1607391	b76f0291a3c758549392b183598aae3f;1fcb75217cc86d9af29d988828984f60
SRR1607392	0eee6ed14a77d3712d34e1a0a447a4c2;0ee7ac9a15e84821d62e9a105a58090a
SRR1607393	69b4d6dd2efedc82576decaf0970b670;bec31470417c0a7800c29a6f2c57ecbc
SRR1607394	707ac3a539af384a727eccc05dee39e2;25fbeae3af841776409685003defcac3
SRR1607395	86af892485ea1d55d0b6bb725565e8aa;86f4d67eba448f1220e9226c2ce15348
SRR1607396	2b5231754b36a557de614d0cbf3a9c1e;da3bfd5084e4af6155200458aeac822f
SRR1607397	206d20dde7fd72ef7a8fd65786d11e99;c059ac7d56b46d783e92e36c6c10299d
SRR1607398	66eca0101da8126fc3998a427a5dbd12;7fbdcaa12801f33ac495f1361a99565d
SRR1607399	d64436e6647dd958859c612f0e091bb0;a731ff349c2b70aff71d0d23ef247087
SRR1607400	5b77f2d68d7094a54919bd44956961d5;c300f84263fa7d46f8df426344f723f0
SRR1607401	4b04a612ca3a1ba675829fa9d2bb6380;ad4df9a32d706573b95eb4b813c89e1f
SRR1607402	9cea0fcef7c65b4eee9337f313498955;de32456500bedd25a3fc1e71e77ae38c
SRR1607403	fefa52e0099ed6407ff94b875f647044;57057ecaad0e39259e5deff41575ff9f
SRR1607404	2084f289f67744b38e2a7d5e6c8a503f;44c224a8c144bf7dd56c0baa6af41b39
SRR1607405	5627417ea3659beea546be23f1a5f859;29bab744f96311b88983bafbce2f98a6
SRR1607406	5a32396dbebc41df891b373acac23fb8;4bf867aa0ef6d78e8a5f1e35b0fabd70
SRR1607407	3b7e7b8aa6f3142172ed1124063c0844;c23751fda500433bb68b77ffd378a728
SRR1607408	a39ce5de9f7419120929b20e066ac5cd;523f2a3eb3d10f48e9b77679365025d6
SRR1607409	95e98aa499bda4baf84940e6ed74f2ec;71632c27939888490a778aa6a30c3959
SRR1607410	8dae1e79e51b611859eba1da6ee7f73f;0cd01340dad83531f97221043ad4b941
SRR1607411	5e4b3d59d5dece3635a2672f538e7b95;02f78956431e7352a303d1a0fc42de27
SRR1607412	0b9d8e2a06700343ddad1b1ea442c292;a7ce60c6a670fa5ccf022d5bab6ebabb
SRR1607413	9b3e199f6694c50a7e0e2775272636f4;460b895ea8619f797542e7e993dd19ec
SRR1607414	df26ac119e26a8a3fb7144143befb14e;1f28a97201dd53bf0df4887b99a6a0c8
SRR1607415	bece53ee45a9196fa09d7e20baf6f12d;b07bd3fcc43c403caf45b360a2231bf1
SRR1607416	194f9797e47128e22cd4c07f623f83b3;48f39d7cc703c9f70ef9a7053f344037
SRR1607417	bbfd9fe3f31da1cd95bf5c8d05a2aef6;b38602612bd049f96258d94809647b6c
SRR1607418	3f4c046653dbc1645aae83b2d9facf19;ab69bd00ef0f846abd6f66ac8350a4e1
SRR1607419	06dd050e75a414242ba2b94c237b5b63;34ad290b73e86a082fbf7e4a9a662b91
SRR1607420	0cdcdb95afe46d97083d804c10a61d3d;e2749ea0d52717148ec3efdde97c68ab
SRR1607421	6d4551e079c823943218c9c552107080;dd150d5c96dbeb42dad975df82bdc7f2
SRR1607422	f173c0ab9091c4a1aa5d032ca45225a0;3a9d9e696d1399e5f6a8751a85a8bdd0
SRR1607423	f53ab3daacc7a3e6b749dd1aca9092fa;cb55fc9e30ad7f14eba77a9e87ebf4c4
SRR1607424	bb3392c4deeefc422324c0857d124249;4dc2f7b419052551f349702deeb59de1
SRR1607425	bab113110a1f7464f31108897c4cf6ab;a7ebf4caa2a92b9520674a6872742566
SRR1607426	767eb02ce578076c59b426d3fe085b2c;19368d5b8c1ba23ce400c6339947c9a7
SRR1607427	31b6f6b48787d6f5882b2b8517407653;d217d1bf38fee8b3023a0b701e456653
SRR1607428	1c8ece4ef3a03ce81aab97def9fea33b;fb82ff0a99383ac6992ca20418291630
SRR1607429	557e11fda034be1e6e29bf4a54d55726;edc3d60a08e383fa1ad8b3564bb29e2d
SRR1607430	c3c1b298d3f329747732b0759aeffc16;fec9e3f17c9177cbc5795c75efa0b1f2
SRR1607431	3a869ea667be0a5797d63c42ca4f7392;b1d62ad6fe50db081cdd12a4113d5dbc
SRR1607432	4089d1718cf40c8db57350498111754b;08b92fbc3bbabb8b9cacfb008ba1ce4c
SRR1607433	12b3e1a607f86f8dd9a655c768e4c32d;82613a127a1c23a0f2f79e7f528f3621
SRR1607434	80bc5a6d0fa56d2db86e7581874185e5;2892b97e64fe0b97ae2739d1777af6c6
SRR1607435	903e810fbf24991a8326bafd9ef480cb;e391022245d365330aa41deed799cba7
SRR1607436	b9f165baac0f3f0e3cd677dc04e5ff96;04287592ec1d957782fb9c2f43007ad5
SRR1607437	41f490311f6ad1c25864c0393a7a96bc;0b6f3e97bda0bb7b66ab94b4c20d765b
SRR1607438	22b8f5a79775c37406d6329d538983e3;4ed7109b5de18e805641ed97572bb8b9
SRR1607439	73852709fb94ae4018f8fa180f8da830;aec748278ab881291ef4233d14af4962
SRR1607440	f388d68f1b1ecfd7fc3ace54b5a38471;00fcbc4271b247cbccddfba1bb48a792
SRR1607441	6b96d7f95aed8e23c5db78030ac6ab24;0d7655122fc833f2aba187cc137fe1bf
SRR1607442	568ae513b4eeab2b1a48c046d5f337d1;71b90ba8d2588e5a2ebbbb0349e4f43a
SRR1607443	6397e13fa2a702db51e4a7381e81b347;4bd297f314fbd023d3ddfa5ff6fab4be
SRR1607444	99e0d9c86831dd0b70d0b3bb0101a62d;dc2b5c5b12ff41c272edf39ca526d2ea
SRR1607445	89f786f0e1eff8e8d06aa086347044c6;8e27f5a87f6769923760bac30c1433b6
SRR1607446	f1edd9ec82bfe0cb8f6c8c4362104e0f;84f28be09ab4c32791c7784c4699f2a6
SRR1607447	c04b44e1258e060142ca28b267c09b2a;2ab1a64efe112ed7afab751ed870373b
SRR1607448	5f6269b54cfaf6e3654ed646dfc26307;9dfaf4d106c850fbb1ea0c38dfa0e8b7
SRR1607449	5cc8819df56022b046a57bb3f357e9d4;133a2ce9ef9e4417c3472f1f490e0a3b
SRR1607450	e41e690b980c0723dcd4ac4f4cd1680a;829b88bcb40325a1613443c878e7ae91
SRR1607451	2976952e74994e71ca699ac950d7b1bb;c2e5edc36b0837a8eeb9f16381769d71
SRR1607452	93143a0dae5c7ffa474f9a9fed8a1836;ef090e5741ef2a5393f72e962248a837
SRR1607453	8ef9c4c3af3fc5d91eae6f624852f17e;2282d64bd02454e2d35227dfffd6d66a
SRR1607454	01faebe56daa45d5bc78b792319b7e89;07a97731358ef963ee546c37974ed0e9
SRR1607455	37440c4465c75ba899708f06b334f5c1;ee443d7bca3e53cd0147df39d6ed2e96
SRR1607456	da9988a7a1c7eea31291364529184436;649f0a1bb21c69772694ae3ddd20c14c
SRR1607457	db0b158cb5828a241b5bb6a0ba2d7f63;cf6a670f421f86fd88e1c8e2a7e7c905
SRR1607458	13b649b387bd31101c1d5c319fd768c2;bd71a12d6f6bda6120ca035927bd47ce
SRR1607459	17a29b45152ebe3c91641b0c4200c136;f0d6b65aca69c4b45d7008109924d7dd
SRR1607460	f91d66d19306959057dae3f90f7c3883;a6738eeb828fbfdbc5ebe1ee9355733e
SRR1607461	f8ab66ecc6c2fb5d91c0a97bc3ae7633;fe03538af2c9002c44d0eb4fcda35551
SRR1607462	a0977bc8680ad83e26593fd2af5f5e09;c9c76f74ff02212cc56d81a73d3930c1
SRR1607463	6255f5cff669d6c5f17e815d931673ae;79ab1817089902142fe66530e074efc9
SRR1607464	ee85d2f10484e1d54ecba6f718196243;969dbeb1d6a18a7669ea2013a8c0b4c7
SRR1607465	7edeff4e1dabcea5b5a8460a1df40474;0e1854b93d03a8322ae7e36de913a404
SRR1607466	058ce32986abc913adf2bd5854242b05;c6880863eb77db47bffbce47e1ddb242
SRR1607467	73dbce862d2d0f06fcd4eb43f4df627d;746f81f8f23b53be5bf51140a09532e6
SRR1607468	c9f05e62bf6d0417596ff88fcf032d70;3a6ae355274ce6d5e0a0cf1445dd8e68
SRR1607469	bfe438d7cec10685f890aa5d94da8079;229e67efd9e8cad7d4990c56d0342e04
SRR1607470	975fee78e05482a549f14d3630dd3c3d;ac1da477b73339d757ec1ee681ec1e7c
SRR1607471	975ff32d4551043479cc86ab16732803;927269dfbde4687fa61e665f6f2cb481
SRR1607472	dbd0b7b5f8a38fd5a76a11a58fd9ffb5;a97439697575125627d0722ae9d114a2
SRR1607473	0e6a167c44d922896e4adcae900eaccb;d46d8623cd0b4791261199ef55e354be
SRR1607474	be1144963f47501ffad66526d85fba57;717a6e09a9f38d16876ce7667aadea76
SRR1607475	d3a342db2c32866707876ce7a9b60d70;fd515cc9903551b5058bc336325670e3
SRR1607476	64f98afb3850ab2c2a0a97ce8064fe7c;165939086a9286970f3ec757c0869dc0
SRR1607477	c1ed33c8c10eee8b0a130cf8fc8098af;7500528770ac42c619a38c49138260eb
SRR1607478	633b98e5f2a30166ba636fe0f8731dd5;4725a33d38f0c37704a490c1a7b2ea89
SRR1607479	2615c73053466961dfe94fca205d72be;12fb532c9b6207a568d9601f69f713e2
SRR1607480	0661e0063acb9d2fd2c7e34ffadce4f3;203a29ea8e2920edc9bca906f04680a6
SRR1607481	acbf81b50fcf37b40591941ba139dd6f;852a2bc6031b655caf9850821234abee
SRR1607482	7d8ab957eabbca3d7985d84a17be9d10;df995ec9e2924844f3568eccd9bae1af
SRR1607483	a4d67b1bc9e52a9213733614d0403de0;a8fbc41d9a06b69446b0f78cede0ebe3
SRR1607484	35696281744625fe9d96dbd431b122dc;c9a04433e28c221b10b87a709acba9a6
SRR1607485	01d61209a57d3b97500f62c20d640fb0;a37c11d6b8a340d923e2850cb14ad93a
SRR1607486	0596c3387cfa71270c61a036456a8c80;eda1c76589ab7302b75e3031e2f52c39
SRR1607487	7c8373cad94696583c2cd377285a5702;33baab1fd9b6d8e37e1f50c7cb248a3e
SRR1607488	b2232548d4bec423a5801c859f6e6a47;4b77d40ed25f110e56825fb6a8942351
SRR1607489	e1e0f57f42835b1f46dbca636312d801;7d7271984e61e40698ffeaa9f4f0df5a
SRR1607490	f100cc852f6833cd7d009baac219e575;138f8c6d8e20960caf97aa11b75a19d4
SRR1607491	8211d7d44ee228acea3a5ee1df32edda;a7e89eedbb24b86d351290954680b0f2
SRR1607492	98cd0c54dc0b8c90cf775ff4fdbbdefb;926b66e3c5f9559b525d28db350fc943
SRR1607493	99d748dad706699121b41f4222a07f2b;6d81b7f8afa397448dcd5a4cbd475fa3
SRR1607494	730133fa1a0a0815d5f0d6fddca4d237;ea5f95e88a3e9e94adbd13c5c2a19a4c
SRR1607495	c580c034746ee17c5f691ff4bc77717b;5b4bd4a9af0d241b4702276dbf80ddbf
SRR1607496	5e03ed3259d1ccbb246f212ef9420f37;4bbacb8ebcaa187ba0d25f7f57ff9999
SRR1607497	b3e3251bb30bb77feead2b0e99a33230;fd61dec05041e8e58415b0c75d571806
SRR1607498	7b3c830aa454b88ba9d89476bd332b6d;5e26c1d61b458981abb97f0bcfc2cd15
SRR1607499	9aaf4d80f8c7327d7b4fcf8c7583c797;3478d3e5478dfee89e2f4fb0537905d9
SRR1607500	4bdb24452ba36e96915a2d67c328d870;2ac34fc5e4a0cb902d5a83e8f59a7525
SRR1607501	d38204b035aa98c3698d624d0f36df9f;0d18c271876b3ef36b6638585f2a88fb
SRR1607502	a51d191225360219bef12f522d4780ac;955c7508288bae8020a03cc1fe4677a9
SRR1607503	3f4459229b8937dd9e09c50429187b52;614ccb1f6c7381a62635074812fe560d
SRR1607504	02c582816e975fcb5ca55add78657532;e1c303b8058f5710465686c52dc1ab98
SRR1607505	9b53bc75d5a7ce7c9f6dfdb3f751ac66;5ab1d8eb525f4f8391ab92fa05b0e238
SRR1607506	079e0dae506ac41aaf3dbc759bdb06c6;b6d44a094b86e50b66c595f5504701f3
SRR1607507	04c8aa4981c7b5a9d48be7fd5574ce35;bba8d96751ef4b0f0072b1df79adeb69
SRR1607508	f8398c14fb91f98287aa0de0624edb66;a18dc4f6d768cb2dce4589f721f541cc
SRR1607509	222014ad901ceccde3c1f8ece3237ec7;b8ddd72144eb6b930efd6098e132130b
SRR1607510	296a89eda66ebac710d862b66c5eeed6;502cd9763a247446d5dd4a3926841083
SRR1607511	5d0bcba4f47a0a0420011ede82693d54;443a90bbbc989ab375a6ccb6ac0ea825
SRR1607512	cc822b57c215e44e79ef468c7ddafc9a;98b3adabcf7010dbb7491f9ca6addead
SRR1607513	266758938195406d12d480ffa5240fd4;5044eb0dbc1efc71d401a6d458e6dd5a
SRR1607514	f00e43c814695701822b8c20fb9c63ce;f05725e9238435d72d83b10c6879ebe4
SRR1607515	79a4bdcfcc62c15842288ecf5716e64f;252f400b986fa7e52333080fa4ddbc08
SRR1607516	0b1c90c236c1ae679840bf01deb1db59;4db216bd575540105040b91d701b7a20
SRR1607517	e50e8433142a742f25159b8be93206f1;1c90f889dd5ee9d2d50dc336bff2bcc3
SRR1607518	f41adaff514d1d4ba9193f529cac501a;adbf9335419e26db662c5f8f8dc6a11c
SRR1607519	d45d6ac0e5865c44ca9faffd57c95eb7;36455234b4c05c75e6daa67659b0a7ac
SRR1607520	26960f352fd75221ab2ff4df5e23c62e;0b0e70f6693bbd9affe4400a362f5883
SRR1607521	29ee0d15f87f0945fd1c99253bc409fd;80b1b53d8b2af76a5e55d7296014c13b
SRR1607522	3870f065188c1e5e621d3e401b1f7054;647431a61d50b71747c00e585d568db7
SRR1607523	1d7cf4ab53d068ea1ff20180937a51e6;192c7473bb3fb4d53a877cfceccce427
SRR1607524	2f4e120273baf648397cc58ea5d9b9fa;071eca3700eb4e51f9a435fcbfcd5bc1
SRR1607525	e26df26a328b829fb071cc6f855ca3f5;ff6a0d5bfdf4bd5634db8cf8fcd36486
SRR1607526	85554c55ee54b670f099735e467bd252;12b88769a9b7edbbb888da2f72452612
SRR1607527	fc8a7c2de8f95e21d0f1a36e18ceb4d9;160d151c9288879ce0d7eaa76b47e750
SRR1607528	c6cf2e1b5873b0a7a213e46f0a08b31d;5d59e230e82232e772f31b67edb8eaaf
SRR1607529	f2dff4af5f9c64fca57f00689a6a25d8;9b6873aeeb889fb8e9fd3506c9d00544
SRR1607530	8f70ab140e5d0aa2e836c6cd7f362553;c43d323a672718575bbc0ac581d15a9c
SRR1607531	b7c9ac19349676c814dd005b393f9802;8152a8c21522c3de96b3275c56feec3b
SRR1607532	988697b9234fd85091b263064c44411c;f7d87fd517c918eb820b76d05e652f23
SRR1607533	2bf7d1f0136db730be0db5da978fd27f;c20a6300cf273c3e5c27877eba7d308e
SRR1607534	8c55e1cca52801a33bd435cd39366d5e;0204715b5ac47dedf2d89a6a355a880c
SRR1607535	26bdb37eed86f6147b662a8ff0d8341d;7acc5d01f2d547542019bb10dd223693
SRR1607536	f3602aeb972f9032366df192fb4232ef;7d55c5faf8a7a3b74b035b97e7254a70
SRR1607537	d4f812a58bda5c39ddd79e4a6331a83c;e9eadd1f975bd1d5b84a53c1bd42c52b
SRR1607538	5426650291224f5fb29e1a56a8eaa484;42695444936035a41198b74e93ed73de
SRR1607539	78d41f59e92d7b34f29c358c44cc8a6e;62756454a17bbb88c009b9bcf29cf6f8
SRR1607540	435528bf690116d7ef4c3999685e3b96;e98be84011a2a0455cf60293c36bea62
SRR1607541	322d3eef85410eb45c7a3884b2e7e6d9;85a6963f24d462c89bd5af825bac94c8
SRR1607542	5ce4ae44dac996f0eee2641665a5a3ee;22eac9ccd9e1f2c14c81588637e725ce
SRR1607543	30230ff6f0d795c5f2ef5f8d0925ee70;ddea10bfb34146dad6f429cff898e9f4
SRR1607544	a65bb878100aa7e84b0c35ee5bd05d7e;a6bdce0119254312b98a93c13e2d79cb
SRR1607545	ddb7dc6054d61e80230c988aa7c9783c;23e533b52efa3ab55541d96224022e4f
SRR1607546	c8e600aaa9745dda999f3b82dbbd7acb;5badc27dabf02d03b9309a3d313880f1
SRR1607547	f5ff51d9d8cfd83a571e2966622ab616;e01d839e386e71ae16ff0311877305fa
SRR1607548	cd7a6ab43048ce24c5d5a56b7cf71703;ef465b92d5dc0b437a3663be227567eb
SRR1607549	3376ac2fc5442319f0e6e99194b70d40;28e2abe9d5b94c0fbaa81060c1c5d9ac
SRR1607550	dfb087edd7720cd3ec231edbc349194c;5d00bfa9a736f571d63c3c8830009c03
SRR1607551	1d4a23bf7645b3e1285a3083d2d20200;72c48003c184750a5ff10245de5c8773
SRR1607552	6cab9c5e6704db7433f54705b800f836;2131e0d6b65a6026bc7c9ab168b961b1
SRR1607553	d3ecc3b0e9cc0d675ba4ee9776150bfd;f74af434f921705dd03b8165827c0dcd
SRR1607554	df23e7c361b2c51518f3c226c725c12e;b608e028f8b068705201c13cd8da163e
SRR1607555	69261a86bce21350fcfa22eae73f8d4c;3f119168e8d931daf038e28c315af7c3
SRR1607556	bf5ee9c9a941e9fb69521992ad0aeb2d;babe43c41bff4a880d37324f9cfde76d
SRR1607557	ee5201c536f5e0d7d7e42f8284b6f7a5;96f2038657ef7d635a733e2c69387aa8
